tool_name,vulnerability_type,cwe_id,cvss_score,raw_severity,lines_in_function,cyclomatic_complexity,is_core_module,requires_auth,exposed_to_internet,description_length,priority,remediation_plan
SonarQube,RCE,552,6.6,Medium,375,12,1,1,0,672,Medium,Address within 1 month. Include in next security sprint.
ZAP,RCE,21,9.6,Critical,326,23,1,0,1,766,High,Fix within 1 week. Implement temporary mitigations.
Bandit,XSS,911,0.7,High,472,14,1,1,1,791,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,SSRF,737,0.6,Medium,340,33,0,1,1,88,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,CSRF,867,2.8,Critical,357,18,1,0,1,442,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
SonarQube,SSRF,794,2.6,High,340,49,0,0,0,810,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,520,2.5,Medium,204,41,0,1,0,162,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,SQL Injection,100,9.1,Critical,161,9,0,1,1,798,High,Fix within 1 week. Implement temporary mitigations.
Bandit,SQL Injection,752,2.5,Low,28,23,1,0,0,410,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,478,2.7,Low,392,10,1,1,0,288,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,SSRF,599,7.6,Critical,257,19,1,1,0,66,Medium,Address within 1 month. Include in next security sprint.
ZAP,Path Traversal,298,4.5,Low,165,47,0,1,1,986,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,Hardcoded Secret,940,7.8,Critical,63,5,1,1,0,195,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Path Traversal,526,0.7,High,22,47,1,0,0,407,Medium,Implement input validation. Chroot sensitive directories.
ZAP,RCE,334,4.9,Critical,70,23,1,0,0,614,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,2,0.3,High,381,30,1,0,1,797,Medium,Implement input validation. Chroot sensitive directories.
ZAP,SQL Injection,375,0.6,Medium,405,25,1,0,1,167,Medium,Address within 1 month. Include in next security sprint.
ZAP,RCE,293,9.1,Critical,96,28,0,0,0,796,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,SQL Injection,837,1.4,Medium,163,34,0,0,0,702,Medium,Address within 1 month. Include in next security sprint.
Bandit,XSS,934,5.3,Low,79,45,0,1,1,368,Medium,Address within 1 month. Include in next security sprint.
Bandit,CSRF,553,4.1,High,5,48,0,0,1,449,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
SonarQube,SQL Injection,318,3.5,Critical,316,47,1,1,0,598,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,RCE,502,9.0,Medium,120,25,0,1,0,475,High,Fix within 1 week. Implement temporary mitigations.
Bandit,XSS,828,0.2,High,302,10,1,1,1,672,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,SQL Injection,381,6.6,High,178,14,0,0,1,455,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Hardcoded Secret,623,9.6,Low,176,42,0,1,0,759,High,Rotate all exposed credentials. Implement secrets management.
ZAP,Path Traversal,14,5.6,Low,390,46,0,0,1,810,Medium,Implement input validation. Chroot sensitive directories.
ZAP,CSRF,504,9.4,High,217,30,1,1,0,752,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,SQL Injection,231,0.5,High,56,41,1,1,0,497,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,XSS,985,4.2,Critical,366,25,0,0,0,539,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Hardcoded Secret,84,2.6,High,187,14,1,1,1,82,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,SSRF,130,7.3,Critical,232,35,0,1,0,938,Medium,Address within 1 month. Include in next security sprint.
ZAP,XSS,743,9.8,High,255,48,0,1,0,937,High,Fix within 1 week. Implement temporary mitigations.
Bandit,Path Traversal,838,2.6,Low,413,34,0,1,1,710,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,XSS,145,6.5,Critical,455,10,1,0,1,959,Medium,Address within 1 month. Include in next security sprint.
ZAP,Hardcoded Secret,891,2.0,Medium,104,35,0,1,0,26,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,XSS,857,5.7,Low,77,11,0,1,0,540,Medium,Address within 1 month. Include in next security sprint.
Bandit,Hardcoded Secret,28,4.6,Critical,230,11,0,0,1,740,Medium,Address within 1 month. Include in next security sprint.
Bandit,SQL Injection,66,9.7,Critical,402,21,1,1,1,335,High,Fix within 1 week. Implement temporary mitigations.
Bandit,Hardcoded Secret,163,6.1,Medium,258,21,0,1,1,641,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Hardcoded Secret,229,3.5,Critical,264,22,1,1,0,622,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,CSRF,261,1.1,High,331,45,0,1,0,555,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,Hardcoded Secret,449,1.5,Medium,481,7,1,0,0,605,Medium,Address within 1 month. Include in next security sprint.
ZAP,Hardcoded Secret,424,2.3,Low,182,17,0,1,1,930,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SSRF,460,2.5,Low,381,2,0,0,0,717,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SQL Injection,952,8.5,High,256,12,1,1,1,851,High,Fix within 1 week. Implement temporary mitigations.
Bandit,Path Traversal,676,5.6,Low,38,42,1,1,0,211,Medium,Implement input validation. Chroot sensitive directories.
SonarQube,CSRF,301,5.2,Critical,176,18,0,1,1,353,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,SSRF,919,1.1,Critical,27,11,1,0,0,862,Medium,Address within 1 month. Include in next security sprint.
Bandit,RCE,303,8.6,High,276,16,0,1,0,532,High,Fix within 1 week. Implement temporary mitigations.
ZAP,SQL Injection,287,7.2,Low,140,49,0,1,1,868,Medium,Address within 1 month. Include in next security sprint.
ZAP,SQL Injection,395,0.7,Low,299,18,0,0,1,409,Medium,Address within 1 month. Include in next security sprint.
SonarQube,RCE,10,7.1,High,445,35,1,0,0,227,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Path Traversal,707,5.4,Medium,287,26,0,0,1,454,Medium,Implement input validation. Chroot sensitive directories.
SonarQube,Hardcoded Secret,630,0.8,Low,91,16,1,0,1,774,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,270,4.6,Medium,480,6,0,1,0,231,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,XSS,592,4.8,Low,61,44,1,1,1,392,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,CSRF,970,1.7,Low,458,43,1,1,0,890,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,XSS,605,9.5,Low,451,47,0,1,0,601,High,Fix within 1 week. Implement temporary mitigations.
ZAP,RCE,778,8.5,Low,365,47,1,0,1,16,High,Fix within 1 week. Implement temporary mitigations.
ZAP,SQL Injection,844,6.7,Critical,347,48,0,1,1,281,Medium,Address within 1 month. Include in next security sprint.
ZAP,Path Traversal,862,4.6,Medium,163,42,0,1,0,748,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SQL Injection,361,4.1,Medium,351,12,0,1,0,25,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,CSRF,257,6.5,Low,143,13,0,1,0,433,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
Bandit,SQL Injection,133,5.5,Low,400,4,0,0,0,533,Medium,Address within 1 month. Include in next security sprint.
Bandit,SQL Injection,276,0.6,Medium,253,39,1,1,0,812,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,CSRF,776,5.1,Critical,269,2,0,1,0,762,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,SSRF,683,8.1,High,369,26,1,1,1,30,High,Implement network-level restrictions. Validate all URL inputs.
Bandit,SSRF,972,4.6,High,291,27,1,0,1,699,Medium,Address within 1 month. Include in next security sprint.
Bandit,CSRF,513,0.5,Medium,459,27,0,0,1,948,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
SonarQube,Path Traversal,313,7.9,Low,187,15,1,1,0,237,Medium,Implement input validation. Chroot sensitive directories.
Bandit,RCE,576,2.0,Low,405,8,0,1,1,794,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SQL Injection,886,2.6,Critical,499,7,1,1,0,297,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,Path Traversal,980,1.6,High,438,47,1,0,0,818,Medium,Implement input validation. Chroot sensitive directories.
SonarQube,SQL Injection,284,3.3,Critical,459,46,1,1,1,143,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,RCE,121,7.6,High,414,40,0,1,0,993,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,107,5.2,Medium,304,12,1,1,0,292,Medium,Address within 1 month. Include in next security sprint.
ZAP,Path Traversal,933,2.0,High,291,13,0,0,0,413,Medium,Implement input validation. Chroot sensitive directories.
Bandit,Hardcoded Secret,687,8.8,Critical,86,43,1,1,0,674,High,Rotate all exposed credentials. Implement secrets management.
SonarQube,Hardcoded Secret,997,8.8,Critical,166,17,1,1,0,75,High,Rotate all exposed credentials. Implement secrets management.
Bandit,Hardcoded Secret,204,8.7,Critical,415,17,1,0,0,658,High,Rotate all exposed credentials. Implement secrets management.
Bandit,SSRF,165,2.4,Medium,462,36,1,0,1,613,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,305,4.5,High,408,21,0,1,0,446,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,RCE,497,9.8,High,114,8,0,0,0,838,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,SQL Injection,632,7.7,Critical,433,5,1,1,0,943,Medium,Address within 1 month. Include in next security sprint.
ZAP,RCE,556,0.3,High,480,26,1,0,0,268,Medium,Address within 1 month. Include in next security sprint.
Bandit,RCE,824,0.7,Low,356,16,0,0,1,989,Medium,Address within 1 month. Include in next security sprint.
ZAP,SSRF,156,4.6,Low,416,36,0,1,1,975,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Hardcoded Secret,367,9.1,Low,183,28,0,1,0,112,High,Rotate all exposed credentials. Implement secrets management.
ZAP,XSS,719,5.4,High,207,29,0,1,0,576,Medium,Address within 1 month. Include in next security sprint.
Bandit,SQL Injection,902,5.0,Medium,256,47,1,0,0,778,Medium,Address within 1 month. Include in next security sprint.
Bandit,SSRF,620,1.1,Medium,235,12,1,1,1,110,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Hardcoded Secret,251,6.6,Medium,442,37,0,1,1,207,Medium,Address within 1 month. Include in next security sprint.
ZAP,Path Traversal,957,8.2,Medium,355,30,0,1,1,822,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,XSS,916,3.8,Low,3,23,0,1,1,235,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,XSS,882,7.8,Low,208,16,0,1,0,952,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,334,9.6,Critical,197,14,0,0,1,472,High,Implement network-level restrictions. Validate all URL inputs.
ZAP,CSRF,642,2.0,High,341,10,0,1,1,246,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SQL Injection,969,5.2,High,125,7,1,1,0,35,Medium,Address within 1 month. Include in next security sprint.
Bandit,XSS,511,2.9,Medium,138,45,1,0,0,130,Medium,Address within 1 month. Include in next security sprint.
ZAP,SSRF,293,7.9,Low,339,37,1,1,1,919,High,Implement network-level restrictions. Validate all URL inputs.
ZAP,SSRF,20,5.8,Medium,25,29,0,1,1,515,Medium,Address within 1 month. Include in next security sprint.
ZAP,Hardcoded Secret,282,6.3,Critical,68,3,0,1,1,191,Medium,Address within 1 month. Include in next security sprint.
ZAP,Path Traversal,797,8.0,High,61,15,0,1,1,720,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,CSRF,1,4.0,High,29,36,1,1,0,823,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,SQL Injection,119,9.2,Medium,383,47,0,0,0,776,High,Fix within 1 week. Implement temporary mitigations.
Bandit,RCE,35,5.3,Critical,19,46,0,0,1,643,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,198,1.6,High,171,19,1,0,1,552,Medium,Implement input validation. Chroot sensitive directories.
ZAP,Path Traversal,485,7.0,Critical,450,13,0,1,1,993,Medium,Implement input validation. Chroot sensitive directories.
Bandit,Hardcoded Secret,757,7.9,Critical,74,42,1,0,1,324,High,Rotate all exposed credentials. Implement secrets management.
ZAP,XSS,59,3.2,Medium,61,21,1,1,1,806,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,XSS,837,8.6,Low,427,37,0,1,0,627,High,Fix within 1 week. Implement temporary mitigations.
Bandit,Hardcoded Secret,161,9.1,Medium,153,27,1,1,0,745,High,Rotate all exposed credentials. Implement secrets management.
ZAP,SSRF,691,2.8,Low,276,29,0,0,0,282,Medium,Address within 1 month. Include in next security sprint.
Bandit,XSS,206,9.8,Critical,48,20,1,0,1,919,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,CSRF,12,1.4,Low,211,25,0,0,1,241,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,SQL Injection,490,2.0,Critical,343,6,1,1,0,429,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,Path Traversal,276,1.8,High,408,36,0,0,0,777,Medium,Implement input validation. Chroot sensitive directories.
Bandit,Path Traversal,693,8.9,High,139,2,1,1,1,451,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,CSRF,242,6.5,High,110,22,1,0,0,505,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
SonarQube,XSS,216,1.5,Medium,482,32,1,0,1,33,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,251,4.4,Medium,183,16,0,1,1,118,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,RCE,811,6.2,Critical,28,18,0,1,0,712,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SQL Injection,126,0.8,High,197,5,1,0,0,511,Medium,Address within 1 month. Include in next security sprint.
Bandit,SQL Injection,994,8.8,Medium,191,36,0,0,0,868,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,Path Traversal,217,8.0,High,315,30,1,0,1,34,High,Fix within 1 week. Implement temporary mitigations.
Bandit,Hardcoded Secret,306,5.1,Medium,389,45,0,1,1,196,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Path Traversal,797,9.7,Low,51,19,1,1,0,297,High,Fix within 1 week. Implement temporary mitigations.
Bandit,Hardcoded Secret,185,4.2,Low,149,23,0,0,1,637,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,39,9.8,High,268,34,1,0,1,347,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,RCE,223,6.7,Critical,50,13,1,1,1,887,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,184,6.3,Medium,388,43,1,0,0,923,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SQL Injection,495,1.7,Medium,246,29,1,1,1,46,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Path Traversal,427,8.8,Low,113,36,0,1,0,803,High,Fix within 1 week. Implement temporary mitigations.
ZAP,RCE,178,4.3,Low,170,22,1,1,0,146,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Hardcoded Secret,919,1.6,Critical,468,47,0,1,1,517,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,Hardcoded Secret,428,0.1,Critical,166,36,0,1,0,236,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SQL Injection,294,5.6,Critical,409,9,1,1,1,329,Medium,Address within 1 month. Include in next security sprint.
Bandit,CSRF,852,5.3,High,14,39,0,0,0,849,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,Path Traversal,151,7.2,Low,203,19,0,1,0,925,Medium,Implement input validation. Chroot sensitive directories.
SonarQube,XSS,384,8.9,High,288,38,0,1,1,191,High,Fix within 1 week. Implement temporary mitigations.
Bandit,Hardcoded Secret,638,0.8,Low,395,6,1,0,0,883,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,813,7.3,Low,189,47,0,1,0,95,Medium,Address within 1 month. Include in next security sprint.
Bandit,SSRF,308,1.9,Medium,402,15,0,0,0,476,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Hardcoded Secret,336,8.6,Low,155,20,1,1,1,935,High,Rotate all exposed credentials. Implement secrets management.
ZAP,CSRF,946,8.2,Low,55,9,1,0,1,62,High,Fix within 1 week. Implement temporary mitigations.
ZAP,CSRF,746,5.4,High,182,32,0,0,0,869,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
SonarQube,RCE,892,7.1,Low,210,4,1,1,0,876,Medium,Address within 1 month. Include in next security sprint.
Bandit,SSRF,375,3.1,High,376,18,0,1,0,244,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,RCE,8,4.7,Critical,471,5,0,1,1,968,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,SSRF,341,8.2,Low,75,20,0,1,1,788,High,Implement network-level restrictions. Validate all URL inputs.
ZAP,Path Traversal,129,4.6,Low,277,23,1,0,0,808,Medium,Implement input validation. Chroot sensitive directories.
SonarQube,Path Traversal,776,3.6,High,428,11,0,0,1,442,Medium,Implement input validation. Chroot sensitive directories.
SonarQube,XSS,669,4.9,Critical,133,37,1,0,1,505,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,352,8.3,Medium,343,22,1,1,1,109,High,Fix within 1 week. Implement temporary mitigations.
Bandit,XSS,358,3.4,Critical,425,4,0,0,1,999,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,517,1.7,High,59,29,1,1,0,608,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SQL Injection,495,7.1,Critical,345,44,1,1,1,412,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Path Traversal,86,8.3,High,489,34,1,0,1,405,High,Fix within 1 week. Implement temporary mitigations.
Bandit,RCE,175,1.0,High,182,13,1,1,0,536,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,Hardcoded Secret,802,2.4,Medium,458,42,1,0,0,424,Medium,Address within 1 month. Include in next security sprint.
SonarQube,RCE,193,1.4,Low,406,9,0,1,1,948,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,Hardcoded Secret,311,3.5,High,339,42,1,0,1,622,Medium,Address within 1 month. Include in next security sprint.
ZAP,CSRF,119,4.5,High,321,31,0,1,0,686,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,RCE,218,7.5,Medium,64,7,0,0,0,472,Medium,Address within 1 month. Include in next security sprint.
Bandit,CSRF,427,6.5,High,327,4,0,0,0,550,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
SonarQube,XSS,970,6.2,Low,260,19,0,1,1,635,Medium,Address within 1 month. Include in next security sprint.
ZAP,XSS,414,3.5,Medium,193,42,0,1,1,628,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SQL Injection,114,8.4,Low,143,30,0,0,0,931,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Path Traversal,978,4.7,Low,104,31,1,1,1,373,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,RCE,145,9.8,Medium,460,35,1,1,0,139,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,CSRF,538,6.3,High,406,21,1,1,1,93,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,Hardcoded Secret,648,1.3,Low,214,31,0,0,0,280,Medium,Address within 1 month. Include in next security sprint.
SonarQube,XSS,303,6.8,Low,242,19,1,0,0,253,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Path Traversal,744,3.3,Low,431,31,1,1,1,397,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,XSS,881,6.9,Low,209,32,1,1,1,223,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Hardcoded Secret,588,0.7,Medium,93,2,0,0,1,827,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,987,1.7,Medium,430,10,1,1,1,175,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Path Traversal,840,8.6,Critical,142,2,0,0,1,800,High,Fix within 1 week. Implement temporary mitigations.
ZAP,CSRF,345,2.3,Critical,434,2,1,1,1,68,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,CSRF,814,8.4,Low,404,24,0,1,0,611,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,RCE,964,2.8,High,434,17,0,1,1,892,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,RCE,801,6.4,Low,112,32,0,0,0,852,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SSRF,1,6.9,High,417,16,1,0,0,933,Medium,Address within 1 month. Include in next security sprint.
ZAP,SSRF,147,5.1,Low,375,16,1,0,1,513,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SQL Injection,287,3.1,Critical,59,46,0,0,0,715,Medium,Address within 1 month. Include in next security sprint.
Bandit,XSS,976,2.1,Critical,43,39,1,1,0,132,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,RCE,654,0.3,High,207,31,0,1,1,657,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,CSRF,53,3.0,Low,268,43,0,0,1,422,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,Hardcoded Secret,304,6.5,High,296,24,1,1,1,148,Medium,Address within 1 month. Include in next security sprint.
SonarQube,CSRF,69,9.4,Critical,118,1,1,1,0,238,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,XSS,361,8.7,Low,20,11,1,0,1,283,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,SSRF,602,7.7,Low,222,21,0,1,1,448,High,Implement network-level restrictions. Validate all URL inputs.
Bandit,CSRF,958,7.9,High,166,4,0,1,1,571,High,Fix within 1 week. Implement temporary mitigations.
ZAP,SQL Injection,220,6.6,Medium,131,7,1,0,1,919,Medium,Address within 1 month. Include in next security sprint.
Bandit,XSS,962,2.6,High,156,26,0,1,0,127,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,SSRF,704,9.1,Critical,184,47,1,1,1,723,High,Implement network-level restrictions. Validate all URL inputs.
SonarQube,Hardcoded Secret,966,6.7,Critical,90,12,0,1,0,914,Medium,Address within 1 month. Include in next security sprint.
Bandit,SSRF,575,5.6,Critical,94,31,1,0,1,492,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Path Traversal,585,1.1,Critical,13,17,1,0,0,404,Medium,Implement input validation. Chroot sensitive directories.
ZAP,SQL Injection,161,4.5,Critical,461,33,0,1,0,712,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,XSS,681,4.6,Medium,322,11,1,1,0,885,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Hardcoded Secret,89,8.6,Low,293,28,1,1,1,469,High,Rotate all exposed credentials. Implement secrets management.
SonarQube,SQL Injection,688,5.5,High,433,32,0,0,0,844,Medium,Address within 1 month. Include in next security sprint.
Bandit,SSRF,781,3.8,High,230,1,1,0,1,702,Medium,Address within 1 month. Include in next security sprint.
Bandit,SQL Injection,585,9.8,Critical,322,47,0,0,1,944,High,Fix within 1 week. Implement temporary mitigations.
ZAP,XSS,757,1.1,High,292,28,1,1,1,87,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,RCE,589,4.2,Critical,438,42,0,1,1,961,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,SQL Injection,159,0.4,Medium,26,7,1,1,1,421,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,Path Traversal,489,7.4,Medium,75,2,1,1,0,84,Medium,Implement input validation. Chroot sensitive directories.
SonarQube,SQL Injection,971,9.2,Low,456,42,1,1,1,304,High,Fix within 1 week. Implement temporary mitigations.
ZAP,SSRF,324,2.8,Medium,364,24,1,0,0,802,Medium,Address within 1 month. Include in next security sprint.
Bandit,SSRF,610,8.6,Medium,424,4,0,1,0,30,High,Implement network-level restrictions. Validate all URL inputs.
SonarQube,Hardcoded Secret,381,2.9,Low,299,44,0,1,0,915,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,SSRF,102,9.1,High,150,19,0,1,0,180,High,Implement network-level restrictions. Validate all URL inputs.
SonarQube,CSRF,494,7.5,Critical,148,26,0,0,0,24,Medium,Add CSRF tokens to all forms. Implement SameSite cookies.
ZAP,XSS,644,8.0,Critical,8,11,0,1,0,220,Medium,Address within 1 month. Include in next security sprint.
ZAP,XSS,614,0.2,High,29,40,0,0,0,569,Medium,Address within 1 month. Include in next security sprint.
ZAP,RCE,19,9.6,Low,296,43,0,0,1,95,High,Fix within 1 week. Implement temporary mitigations.
ZAP,RCE,454,7.3,High,474,11,1,0,0,158,Medium,Address within 1 month. Include in next security sprint.
ZAP,XSS,482,3.0,Medium,414,45,1,0,1,709,Medium,Address within 1 month. Include in next security sprint.
Bandit,Path Traversal,594,8.3,Low,209,3,1,0,0,381,Medium,Implement input validation. Chroot sensitive directories.
Bandit,RCE,397,2.8,Low,128,12,1,1,0,489,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,Hardcoded Secret,279,8.7,Low,340,3,0,1,0,827,High,Rotate all exposed credentials. Implement secrets management.
SonarQube,SSRF,851,1.1,Critical,116,42,0,0,0,160,Medium,Address within 1 month. Include in next security sprint.
ZAP,XSS,365,7.0,High,439,27,0,0,1,150,Medium,Address within 1 month. Include in next security sprint.
Bandit,RCE,331,5.4,Low,144,49,1,0,1,78,Medium,Address within 1 month. Include in next security sprint.
Bandit,XSS,641,1.0,Low,430,2,0,1,1,269,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,CSRF,344,2.4,Low,318,49,1,1,0,997,Low,Schedule for quarterly review. Document risk acceptance if needed.
Bandit,SQL Injection,822,0.1,High,235,16,0,0,0,855,Medium,Address within 1 month. Include in next security sprint.
ZAP,SSRF,455,4.7,Critical,7,2,0,1,0,977,Low,Schedule for quarterly review. Document risk acceptance if needed.
SonarQube,XSS,601,3.0,Medium,464,30,0,1,1,530,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,SQL Injection,725,6.0,Critical,45,20,0,0,0,642,Medium,Address within 1 month. Include in next security sprint.
ZAP,RCE,655,3.0,Low,443,38,1,0,1,380,Medium,Address within 1 month. Include in next security sprint.
SonarQube,SQL Injection,65,3.0,Critical,239,28,1,1,1,428,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,SSRF,76,7.4,Critical,440,25,0,1,0,110,Medium,Address within 1 month. Include in next security sprint.
Bandit,XSS,711,0.5,Medium,432,32,1,1,0,670,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,CSRF,143,9.0,High,155,10,0,0,1,963,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,Path Traversal,917,8.5,High,181,42,0,0,1,667,High,Fix within 1 week. Implement temporary mitigations.
SonarQube,RCE,915,6.7,Critical,215,40,0,0,1,874,Medium,Address within 1 month. Include in next security sprint.
SonarQube,XSS,828,5.9,Critical,88,33,0,1,0,977,Medium,Address within 1 month. Include in next security sprint.
ZAP,SSRF,605,8.9,High,256,13,1,1,0,252,High,Implement network-level restrictions. Validate all URL inputs.
SonarQube,RCE,473,1.9,High,73,41,0,0,0,762,Medium,Address within 1 month. Include in next security sprint.
SonarQube,Hardcoded Secret,417,0.8,Medium,419,42,0,1,0,521,Low,Schedule for quarterly review. Document risk acceptance if needed.
ZAP,SQL Injection,305,2.4,Low,179,47,1,0,0,858,Medium,Address within 1 month. Include in next security sprint.
